INFO 2020-09-22 01:07:08,100 autoreload 6852 10088 Watching for file changes with StatReloader
DEBUG 2020-09-22 01:07:08,102 autoreload 6852 10088 Waiting for apps ready_event.
DEBUG 2020-09-22 01:07:08,940 autoreload 6852 10088 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-09-22 01:07:08,949 autoreload 6852 10088 Watching dir C:\dev\webapps\mavshop\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,962 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,970 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,971 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\dj_rest_auth\registration\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,972 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,972 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,972 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\dj_rest_auth\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,973 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,973 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\taggit\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,973 autoreload 6852 10088 Watching dir C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\lib\site-packages\taggit_serializer\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,974 autoreload 6852 10088 Watching dir C:\dev\webapps\mavshop\pages\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,974 autoreload 6852 10088 Watching dir C:\dev\webapps\mavshop\users\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:08,975 autoreload 6852 10088 Watching dir C:\dev\webapps\mavshop\core\locale with glob **/*.mo.
DEBUG 2020-09-22 01:07:09,247 utils 6852 11480 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-09-22 01:07:09,250 utils 6852 11480 (0.016) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2020-09-22 01:07:09,283 utils 6852 11480 (0.031) SHOW FULL TABLES; args=None
DEBUG 2020-09-22 01:07:09,298 utils 6852 11480 (0.015) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
DEBUG 2020-09-22 01:07:09,468 autoreload 6852 10088 File C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\Lib\site-packages\requests\__version__.py first seen with mtime 1600689157.6182945
DEBUG 2020-09-22 01:07:09,468 autoreload 6852 10088 File C:\Users\marka\AppData\Local\Programs\Python\Python38-32\Lib\subprocess.py first seen with mtime 1595232212.0
DEBUG 2020-09-22 01:07:09,468 autoreload 6852 10088 File C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1600688256.5888276
DEBUG 2020-09-22 01:07:09,468 autoreload 6852 10088 File C:\Users\marka\.virtualenvs\mavshop-zg2IBmbO\Lib\site-packages\django\core\wsgi.py first seen with mtime 1600688256.5648284
